block,total,white-alone,black-alone,native-am-alone,asian-alone,other
3566,1569,1345,46,2,127,18
3566,792,690,13,0,58,3
3566,805,740,6,0,46,1
3566,1003,899,32,1,38,20
3567,1316,1136,47,0,88,7
3567,1131,932,29,2,114,16
3567,1310,981,43,2,235,15
3567,690,550,16,0,107,5
3567,621,550,9,0,48,0
3567,776,682,10,1,59,4
3567,1316,1111,30,4,111,18
3567,918,853,0,1,40,2
3567,1532,1292,43,7,150,9
3567,756,658,12,0,53,7
3567,775,693,11,1,43,5
3567,759,686,9,0,48,1
3567,582,439,28,0,85,11
3571,940,855,5,0,61,5
3571,1374,1052,18,0,272,4
3571,907,807,2,2,72,1
3571,964,862,4,2,74,3
3572,1083,814,26,1,193,10
3572,751,655,2,0,73,0
3572,738,674,2,0,50,0
3572,630,563,3,1,41,3
3573,927,809,3,0,82,11
3573,1046,816,30,4,151,13
3573,1000,835,24,1,113,3
3574,791,685,13,0,50,17
3574,738,633,7,0,76,9
3574,810,728,9,0,43,2
3575,634,552,7,0,60,2
3575,657,542,4,0,81,6
3575,839,690,10,2,101,6
3576,966,763,16,2,160,5
3576,1466,1185,45,0,179,27
3577,935,796,34,1,80,6
3577,811,645,43,2,92,9
3577,955,718,32,1,162,11
3577,1026,798,26,4,143,21
3578,936,814,1,1,97,3
3578,853,766,8,3,46,8
3578,1030,908,13,0,72,0
3578,922,674,68,1,111,17
3581,967,790,10,0,120,3
3581,1284,1045,28,1,169,3
3581,1522,1256,22,0,226,1
3581,1332,984,17,1,298,8
3583,3590,2335,129,3,995,23
3583,1936,1491,18,0,346,6
3584,925,776,2,0,126,2
3584,1267,1106,14,0,108,9
3584,1662,1210,20,0,382,6
3584,1041,731,22,0,275,4
3585,2176,1670,14,3,421,10
3585,741,539,19,2,140,4
3585,1944,1417,15,4,462,16
3586,1200,946,12,3,216,4
3586,797,508,18,1,241,2
3586,697,574,5,0,88,1
3586,1131,836,11,3,237,21
3586,869,631,9,0,201,6
3586,1253,979,8,1,228,1
3587,2062,1417,57,2,515,8
3587,1435,1082,20,0,296,3
3587,1563,1382,3,1,150,5
3591,1295,1142,18,0,124,0
3591,1079,949,9,0,90,6
3591,1825,1569,67,3,133,11
3591,1999,1657,62,1,214,20
3593,947,827,34,1,60,5
3593,936,796,41,2,71,2
3593,1581,1351,24,0,184,2
3593,2683,2343,37,11,243,1
3593,975,809,9,1,131,7
3601,1286,962,147,9,44,35
3602,881,728,27,0,92,6
